txn_id,date,account_id,merchant_raw,merchant_norm,amount_cents,currency,category,is_pending,source_file,raw_id
422bd52a7125787c,2025-06-28,boa:chk,Home Depot,HOME DEPOT,-26158,USD,other,False,seed_generated.csv,
18f1ef82cc8c4f6e,2025-07-16,amex:cc,Freelance Upwork,FREELANCE UPWORK,351622,USD,income,False,seed_generated.csv,
d2d10d8bcd1543cb,2025-07-30,amex:cc,At&T,AT&T,-21431,USD,utilities,False,seed_generated.csv,
55cc8388317b6d36,2025-09-13,chase:chk,Whole Foods,WHOLE FOODS,-3247,USD,groceries,False,seed_generated.csv,
e85b57d9c666755f,2025-06-01,boa:chk,Urban Living Rent,URBAN LIVING RENT,-213855,USD,rent,False,seed_generated.csv,
b8ffaecc4310c634,2025-06-03,amex:cc,Freelance Upwork,FREELANCE UPWORK,70725,USD,income,False,seed_generated.csv,
20101883012c337b,2025-07-24,boa:chk,Freelance Upwork,FREELANCE UPWORK,134981,USD,income,False,seed_generated.csv,
de9e55568065a2d9,2025-09-13,chase:chk,Metro Card,METRO CARD,-3234,USD,transport,False,seed_generated.csv,
7719a33cb6d27b53,2025-09-16,boa:chk,Costco,COSTCO,-3505,USD,groceries,False,seed_generated.csv,
03adbde0b0feea58,2025-07-08,chase:chk,Amtrak,AMTRAK,-5158,USD,transport,False,seed_generated.csv,
b1343a4881e37a89,2025-06-15,amex:cc,Chevron,CHEVRON,-2399,USD,transport,False,seed_generated.csv,
aaa43885d3bba6da,2025-07-29,chase:chk,Panda Express,PANDA EXPRESS,-24618,USD,food,False,seed_generated.csv,
f3aaae965fb6ec5b,2025-09-14,boa:chk,Amazon,AMAZON,-1767,USD,other,False,seed_generated.csv,
b67f9da9e4ba0315,2025-07-29,boa:chk,Amtrak,AMTRAK,-2028,USD,transport,False,seed_generated.csv,
6c37ca7e6b637da9,2025-07-12,chase:chk,At&T,AT&T,-14394,USD,utilities,False,seed_generated.csv,
fd3162fec3b9913f,2025-09-20,chase:chk,Home Depot,HOME DEPOT,-4056,USD,other,False,seed_generated.csv,
6bf15a11de46a25c,2025-05-28,chase:chk,Amc Theatres,AMC THEATRES,-4390,USD,entertainment,False,seed_generated.csv,
2e759f8519f5795b,2025-06-25,chase:chk,Hulu,HULU,-9338,USD,entertainment,False,seed_generated.csv,
505844153a5b8c31,2025-06-05,chase:chk,City Water,CITY WATER,-17502,USD,utilities,False,seed_generated.csv,
f21b8d82966d4cbd,2025-08-31,boa:chk,Transfer From Savings,TRANSFER FROM SAVINGS,354457,USD,transfer,False,seed_generated.csv,
ed2464d726ae52b3,2025-07-01,boa:chk,Urban Living Rent,URBAN LIVING RENT,-100627,USD,rent,False,seed_generated.csv,
0344b28b4ce8ef80,2025-08-01,boa:chk,Oakwood Apartments,OAKWOOD APARTMENTS,-98792,USD,rent,False,seed_generated.csv,
7d853751af1cfc37,2025-09-21,boa:chk,Payroll Acme Corp,PAYROLL ACME CORP,244931,USD,income,False,seed_generated.csv,
23b8ff93568d3f02,2025-07-04,amex:cc,Wifi-Co,WIFI-CO,-13253,USD,utilities,False,seed_generated.csv,
310a79a17804cec4,2025-09-18,boa:chk,Amc Theatres,AMC THEATRES,-8933,USD,entertainment,False,seed_generated.csv,
4b5e81e7e6cf2503,2025-06-26,chase:chk,Transfer To Savings,TRANSFER TO SAVINGS,-179073,USD,transfer,False,seed_generated.csv,
7386af48a6af6f16,2025-08-09,chase:chk,Subway,SUBWAY,-11516,USD,food,False,seed_generated.csv,
8b22989dbec9a95b,2025-08-24,boa:chk,Mcdonald'S,MCDONALD'S,-24397,USD,food,False,seed_generated.csv,
83d06f0514a7ad91,2025-06-03,chase:chk,Subway,SUBWAY,-3112,USD,food,False,seed_generated.csv,
3da4ea5daf765f00,2025-07-30,chase:chk,Spotify,SPOTIFY,-23925,USD,entertainment,False,seed_generated.csv,
21d695f33d8b7945,2025-07-27,chase:chk,Amtrak,AMTRAK,-10055,USD,transport,False,seed_generated.csv,
584ae61f4e47ae03,2025-08-26,boa:chk,Target,TARGET,-23119,USD,other,False,seed_generated.csv,
e568aae4b3acf6a0,2025-09-03,amex:cc,Transfer From Savings,TRANSFER FROM SAVINGS,387318,USD,transfer,False,seed_generated.csv,
0141617e1b0fbe87,2025-06-07,boa:chk,Comcast,COMCAST,-18787,USD,utilities,False,seed_generated.csv,
8a95446f0bd62a79,2025-07-19,amex:cc,Direct Deposit University,DIRECT DEPOSIT UNIVERSITY,261508,USD,income,False,seed_generated.csv,
a32b1f22d8ff9c82,2025-06-01,boa:chk,Transfer From Savings,TRANSFER FROM SAVINGS,284303,USD,transfer,False,seed_generated.csv,
f80bc4eed91fe408,2025-07-16,boa:chk,Whole Foods,WHOLE FOODS,-12706,USD,groceries,False,seed_generated.csv,
931fc7ed6cb27eb1,2025-06-26,chase:chk,Spotify,SPOTIFY,-8726,USD,entertainment,False,seed_generated.csv,
065fb22042cfd271,2025-07-22,chase:chk,City Water,CITY WATER,-17541,USD,utilities,False,seed_generated.csv,
a850905759203878,2025-06-30,amex:cc,Payroll Acme Corp,PAYROLL ACME CORP,303064,USD,income,False,seed_generated.csv,
4a136dfe3bb11c56,2025-07-21,boa:chk,Comcast,COMCAST,-4585,USD,utilities,False,seed_generated.csv,
70e971f1795445bc,2025-08-17,boa:chk,Whole Foods,WHOLE FOODS,-4443,USD,groceries,False,seed_generated.csv,
090089fef39b89dc,2025-09-21,chase:chk,Mcdonald'S,MCDONALD'S,-24439,USD,food,False,seed_generated.csv,
680e395dd6cc3492,2025-07-01,amex:cc,Oakwood Apartments,OAKWOOD APARTMENTS,-109457,USD,rent,False,seed_generated.csv,
a2dad476b34cb180,2025-09-18,chase:chk,Con Edison,CON EDISON,-4021,USD,utilities,False,seed_generated.csv,
e5f5b41b7c5ed650,2025-05-01,amex:cc,Oakwood Apartments,OAKWOOD APARTMENTS,-167189,USD,rent,False,seed_generated.csv,
e07319c871ad7efa,2025-07-01,amex:cc,Chevron,CHEVRON,-11305,USD,transport,False,seed_generated.csv,
f12f702341d8dcf0,2025-06-14,chase:chk,Best Buy,BEST BUY,-13917,USD,other,False,seed_generated.csv,
6d159ec50bf412e6,2025-06-02,boa:chk,Lyft,LYFT,-4343,USD,transport,False,seed_generated.csv,
0c52cf8f5eacfe53,2025-08-29,amex:cc,Amazon,AMAZON,-8489,USD,other,False,seed_generated.csv,
b7358ee4a21b8e82,2025-08-08,amex:cc,Starbucks,STARBUCKS,-10192,USD,food,False,seed_generated.csv,
4162c5657af46102,2025-06-15,chase:chk,Home Depot,HOME DEPOT,-13490,USD,other,False,seed_generated.csv,
ff619fab1d76bd5f,2025-09-11,chase:chk,Amazon,AMAZON,-7373,USD,other,False,seed_generated.csv,
27d6d21a570a91f5,2025-06-03,boa:chk,Kroger,KROGER,-6175,USD,groceries,False,seed_generated.csv,
0ff7e20e2eab4bb6,2025-06-10,boa:chk,Con Edison,CON EDISON,-3161,USD,utilities,False,seed_generated.csv,
f308388809168683,2025-08-10,chase:chk,City Water,CITY WATER,-7297,USD,utilities,False,seed_generated.csv,
6adc3ba8c9bd031c,2025-08-18,boa:chk,Aldi,ALDI,-27057,USD,groceries,False,seed_generated.csv,
69a37985011f6405,2025-09-22,amex:cc,Walmart,WALMART,-1495,USD,other,False,seed_generated.csv,
f2aa341660055587,2025-08-25,amex:cc,Wifi-Co,WIFI-CO,-14534,USD,utilities,False,seed_generated.csv,
130917474aa78f97,2025-07-15,chase:chk,Pg&E,PG&E,-10629,USD,utilities,False,seed_generated.csv,
9f78669dddcfcd8c,2025-07-05,chase:chk,Chevron,CHEVRON,-12490,USD,transport,False,seed_generated.csv,
79a94969b949b59e,2025-08-13,boa:chk,Kfc,KFC,-26351,USD,food,False,seed_generated.csv,
9c0e882ec689e654,2025-08-02,chase:chk,Whole Foods,WHOLE FOODS,-1516,USD,groceries,False,seed_generated.csv,
34234d45438ec445,2025-06-11,amex:cc,Walmart,WALMART,-24753,USD,other,False,seed_generated.csv,
dd95ae6bbceed478,2025-07-12,amex:cc,Trader Joe'S,TRADER JOE'S,-23323,USD,groceries,False,seed_generated.csv,
f815a483796c24ab,2025-09-01,boa:chk,Oakwood Apartments,OAKWOOD APARTMENTS,-179812,USD,rent,False,seed_generated.csv,
0a4d0a66fe805874,2025-09-06,boa:chk,Metro Card,METRO CARD,-7363,USD,transport,False,seed_generated.csv,
8c0d2372c1fc71a6,2025-08-19,boa:chk,Amazon,AMAZON,-24800,USD,other,False,seed_generated.csv,
f8cafc2d006fd78b,2025-06-08,chase:chk,Amtrak,AMTRAK,-9029,USD,transport,False,seed_generated.csv,
